order_id,order_date,region,product,customer_segment,units_sold,revenue
1001,2026-01-01,West,Widget B,Enterprise,44,879.56
1002,2026-01-02,East,Widget B,Consumer,19,569.81
1003,2026-01-03,East,Widget B,Consumer,8,159.92
1004,2026-01-04,West,Widget B,Consumer,13,259.87
1005,2026-01-05,East,Widget B,Consumer,44,2199.56
1006,2026-01-06,West,Widget C,SMB,23,1149.77
1007,2026-01-07,West,Widget C,Enterprise,49,1469.51
1008,2026-01-08,North,Widget A,SMB,33,1649.67
1009,2026-01-09,North,Widget B,Enterprise,30,599.7
1010,2026-01-10,South,Widget B,SMB,5,249.95
1011,2026-01-11,South,Widget B,Consumer,29,579.71
1012,2026-01-12,West,Widget A,Consumer,19,569.81
1013,2026-01-13,West,Widget A,SMB,42,839.58
1014,2026-01-14,North,Widget B,SMB,7,209.93
1015,2026-01-15,South,Widget C,Consumer,10,299.9
1016,2026-01-16,West,Widget A,SMB,33,989.67
1017,2026-01-17,North,Widget B,Consumer,34,1019.66
1018,2026-01-18,West,Widget C,Consumer,41,819.59
1019,2026-01-19,North,Widget C,Consumer,26,779.74
1020,2026-01-20,South,Widget A,Consumer,19,949.81
1021,2026-01-21,West,Widget A,Consumer,15,449.85
1022,2026-01-22,South,Widget C,Consumer,19,569.81
1023,2026-01-23,South,Widget A,SMB,33,659.67
1024,2026-01-24,South,Widget A,Consumer,27,809.73
1025,2026-01-25,East,Widget B,SMB,15,749.85
1026,2026-01-26,South,Widget C,Consumer,11,329.89
1027,2026-01-27,West,Widget A,Enterprise,35,699.65
1028,2026-01-28,South,Widget B,SMB,13,649.87
1029,2026-01-29,South,Widget B,Consumer,11,549.89
1030,2026-01-30,East,Widget A,Consumer,17,509.83
1031,2026-01-31,East,Widget C,SMB,42,839.58
1032,2026-02-01,East,Widget C,Consumer,23,1149.77
1033,2026-02-02,East,Widget B,Consumer,30,599.7
1034,2026-02-03,West,Widget C,Consumer,4,199.96
1035,2026-02-04,West,Widget B,Consumer,17,509.83
1036,2026-02-05,West,Widget C,Consumer,37,1109.63
1037,2026-02-06,East,Widget C,SMB,38,1899.62
1038,2026-02-07,East,Widget B,SMB,29,579.71
1039,2026-02-08,South,Widget A,SMB,43,859.57
1040,2026-02-09,West,Widget A,Enterprise,15,749.85
1041,2026-02-10,South,Widget B,SMB,9,449.91
1042,2026-02-11,North,Widget A,Consumer,4,199.96
1043,2026-02-12,West,Widget C,Consumer,10,199.9
1044,2026-02-13,North,Widget C,Enterprise,38,759.62
1045,2026-02-14,West,Widget A,Consumer,45,1349.55
1046,2026-02-15,East,Widget B,SMB,7,349.93
1047,2026-02-16,North,Widget A,Consumer,25,1249.75
1048,2026-02-17,North,Widget A,Consumer,7,349.93
1049,2026-02-18,South,Widget B,SMB,42,1259.58
1050,2026-02-19,North,Widget C,Consumer,7,349.93
1051,2026-02-20,North,Widget C,SMB,32,639.68
1052,2026-02-21,East,Widget B,Consumer,4,79.96
1053,2026-02-22,West,Widget B,Consumer,37,1109.63
1054,2026-02-23,South,Widget B,Enterprise,45,899.55
1055,2026-02-24,West,Widget A,Enterprise,36,1799.64
1056,2026-02-25,West,Widget B,SMB,14,699.86
1057,2026-02-26,West,Widget C,Consumer,42,839.58
1058,2026-02-27,East,Widget B,Consumer,16,319.84
1059,2026-02-28,South,Widget A,Consumer,37,739.63
1060,2026-03-01,East,Widget A,Enterprise,41,819.59
1061,2026-03-02,South,Widget C,Consumer,24,719.76
1062,2026-03-03,South,Widget A,Consumer,31,929.69
1063,2026-03-04,South,Widget C,Consumer,42,2099.58
1064,2026-03-05,North,Widget C,Consumer,10,299.9
1065,2026-03-06,West,Widget B,Consumer,1,49.99
1066,2026-03-07,North,Widget B,Enterprise,22,1099.78
1067,2026-03-08,North,Widget C,Enterprise,9,449.91
1068,2026-03-09,North,Widget B,Enterprise,44,879.56
1069,2026-03-10,West,Widget B,SMB,43,1289.57
1070,2026-03-11,East,Widget A,SMB,19,949.81
1071,2026-03-12,West,Widget B,Enterprise,16,799.84
1072,2026-03-13,North,Widget C,Consumer,35,699.65
1073,2026-03-14,East,Widget A,Enterprise,23,1149.77
1074,2026-03-15,South,Widget A,Consumer,5,249.95
1075,2026-03-16,South,Widget C,Enterprise,33,659.67
1076,2026-03-17,North,Widget B,Consumer,36,719.64
1077,2026-03-18,East,Widget C,Enterprise,4,79.96
1078,2026-03-19,West,Widget A,SMB,39,1169.61
1079,2026-03-20,East,Widget C,Consumer,27,539.73
1080,2026-03-21,North,Widget A,Consumer,41,819.59
1081,2026-03-22,East,Widget B,Consumer,42,839.58
1082,2026-03-23,South,Widget C,Consumer,34,679.66
1083,2026-03-24,West,Widget A,Consumer,17,509.83
1084,2026-03-25,West,Widget B,Enterprise,19,379.81
1085,2026-03-26,North,Widget C,Consumer,36,1079.64
1086,2026-03-27,East,Widget B,Enterprise,4,199.96
1087,2026-03-28,West,Widget A,Consumer,12,239.88
1088,2026-03-29,West,Widget B,Consumer,26,779.74
1089,2026-03-30,East,Widget B,Consumer,47,2349.53
1090,2026-03-31,East,Widget C,Enterprise,38,759.62
1091,2026-04-01,North,Widget C,SMB,40,1999.6
1092,2026-04-02,East,Widget B,SMB,10,499.9
1093,2026-04-03,South,Widget A,Enterprise,14,279.86
1094,2026-04-04,North,Widget B,Consumer,14,699.86
1095,2026-04-05,North,Widget A,Consumer,37,739.63
1096,2026-04-06,East,Widget C,SMB,27,1349.73
1097,2026-04-07,East,Widget C,Consumer,11,329.89
1098,2026-04-08,East,Widget B,Consumer,37,739.63
1099,2026-04-09,East,Widget C,Enterprise,32,639.68
1100,2026-04-10,West,Widget B,Consumer,44,1319.56
1101,2026-04-11,East,Widget B,Consumer,28,1399.72
1102,2026-04-12,South,Widget C,Enterprise,7,139.93
1103,2026-04-13,East,Widget C,Consumer,44,1319.56
1104,2026-04-14,East,Widget C,Consumer,10,199.9
1105,2026-04-15,North,Widget C,Consumer,3,89.97
1106,2026-04-16,North,Widget A,Enterprise,40,799.6
1107,2026-04-17,East,Widget B,Consumer,23,1149.77
1108,2026-04-18,South,Widget C,Consumer,32,959.68
